a	01287282	0.25	0	silmahakkav;märgatav;silmapaistev;kättepaistev;silmatorkav;silmnähtav;nähtav;tähelepandav;tajutav	
a	01698610	0	0.625	katmata;paljas	
a	01270486	0.25	0.25	pealiskaudne;mitteammendav;pinnapealne;kerge;põgus	
a	02036077	0.222	0.778	autundetu;autu;vääritu;väär	
a	00639594	0	0.5	mõtlematu;arulage;arutu	
a	02790222	0	0	põllumajanduslik	
a	00570590	0.375	0	teadlik;informeeritud;kursis;teadvustatud	
a	01017161	0.75	0	terve	Terve süda. Laps sündis terve ja tugevana. Kodus on kõik terved. Ta sai terveks.
a	00343360	0	0.5	pääsmatu;paratamatu;möödapääsmatu;vältimatu	
a	01303776	0	0	põrgulik;infernaalne	
a	01168845	0.125	0.875	tervishoiuvastane;tervisevastane;tervisekahjulik;ebasanitaarne;ebatervislik	
a	00178126	0.25	0.75	kurjakuulutav;halbaennustav;kurjaennustav;kurjaendeline;pahaendeline;halvaendeline	
a	00075515	0	0.75	eitav;äraütlev;keelduv;mittenõustuv;nõustumatu	
a	01907481	0	0.75	puhas;ehe;tõeline;ehtne	
a	00915787	0	0.125	ebatäpne	Ebatäpne tsitaat, tõlge. Ebatäpne kaart. 
a	00349894	0	0.625	lõplik;viimne;viimane	Ülemkohtu otsus on lõplik ning edasikaebamisele ei kuulu.
a	02346351	0	1	kehvavõitu;kehvapoolne;viletsavõitu;nigel	
a	01463965	0.75	0	kiindunud;armastav	
a	02793273	0	0	teaduslik	
a	00806512	0.375	0.25	ebahuvitav;kuiv;igav;mage	
a	00815000	0	0	enneaegne;varajane	Enneaegsed öökülmad. Enneaegne surm. Meie rõõm oli enneaegne.
a	00227507	0.75	0	parim;ületamatu	
a	01531957	0	0.25	keskmine;mõõdukas	Olen keskmist kasvu. Sõitis keskmise kiirusega.
a	02263491	0	0	udukas;aurune;hämune;udune;hägune	
a	00326608	0	0.625	tuulepea;eblakas;tuisupäine;kergekäeline;kergemeelne;kerglane	Ta oli alati rõõmus, vahel veidi kergemeelnegi. 
a	01254784	0	0	suvi-;suve-;suvine	
a	02324397	0.125	0.5	nõrk;jõuetu	Näljast nõrgad loomad. Soiub jõuetul häälel.
a	01903617	0	0	tõuline;täisvereline;täisverd;puhtavereline;puhtatõuline;tõupuhas	
a	02080577	0.5	0.125	rahuldav	Rahuldav teraviljasaak. Rahuldavad ilmastikutingimused. Katsete tulemused on rahuldavad. Saksa keele rahuldav oskus.
a	01333118	0.375	0	ratsionaalne;mõistuspärane;mõistuslik;kaine;arukas	
a	00981304	0	0	laisk	
a	00909363	0.125	0.875	õnnetu	Laps on nutma puhkemiseni õnnetu. Surmani õnnetu inimene.
a	00163592	0.25	0	tähelepanelik	
a	00583581	0.5	0	kõikumatu;vankumatu;kõigutamatu;kindel	Tegutseb vankumatu rahuga. On sama vankumatul seisukohal kui varemgi. 
a	00134701	0	0	asjaomane;sellekohane;asjakohane;vastav	
a	01996377	0.625	0	vastutusvõimeline;heaperemehelik;vastutustundeline;vastutustundlik;hoolikas	
a	00530047	0.25	0.5	vagane;häirimatu;rahulik;vaikne	Elame vaikset elu. Siin kolkas on vaiksed olud. Kolis pealinnast maakohta, kus on vaiksem.
a	00303727	0	0.75	tormine	Meri muutus tormiseks.
a	02833331	0	0	taimeline;vegetatiivne	
a	01471848	0.125	0.375	täiskasvanud;täisealine	
a	00273082	0.125	0.125	pime;pimedavõitu;valgusetu;tume	Lõunamaa tumedad ööd. Päev on pilves ja tume. Küll on aga tume ilm.
a	00134251	0.125	0.125	kontakteeruv;suhtlev;seltsiv	
a	02821071	0	0	linnaline;linna-;linnalik;linlik	
a	01415021	0	0	limiteeritud;vähene;piiratud	Uudistoodet valmistati piiratud koguses. Uuendusi võidi teostada piiratud ulatuses. Raamatu piiratud maht ei luba teemat põhjalikumalt käsitleda.
a	02015238	0	0	revolutsiooniline	Revolutsiooniline liikumine. Revolutsioonilised parteid. 
a	01643480	0	0	noor	Pähklid on korjamiseks alles liiga noored.
a	01409581	0	0.25	niisamasugune;ühesugune;samane;samasugune	Neid tabas sama saatus. Jüri oli karjasena samasugune saamatu kui ta eelkäijagi.
a	01513050	0	0.875	õudne;vastik;kole	Õudne ilm. Täna oli õudne päev: koosolek koosoleku otsa. Närvid on õudses seisukorras.
a	01914930	0	0	määra-;hulga-;hulgaline;koguseline;kvantitatiivne	Kvantitatiivsed tunnused. Ainete kvantitatiivne suhe. Kvantitatiivne analüüs.
a	01646941	0	0	nooreealine;noor	Noor seitsmeteistkümneaastane neiu. Meie jääme vanaks, noor põlvkond kasvab peale.
a	00258411	0	0	servapoolne;servmine	
a	00393683	0.25	0	intensiivne;ere	Intensiivne punane, sinine. Intensiivsemad värvitoonid.
a	00708017	0.25	0.5	purunev;õrn;tundlik;habras	Kartul on tundlik öökülmade suhtes. Silmad on ereda valguse vastu tundlikud. Õrn materjal purunes näppude vahel. 
a	02240006	0	0.625	viitane;viitaline;konar;jõnklik;rööpaline;rööpas;rööplik;nukiline;künkaline;künklik;rünklik;konarik;kühmuline;ebatasane;konarlik	
a	02270342	0.625	0	elunäinud;elukogenud;elutark;kogenud	
a	02722988	0	0	hädatarvilik;hädavajalik	Puhkus on sulle praegu hädavajalik.
a	01332386	0.875	0	intellektuaalne;vaimne;mõistuspärane;mõistuslik	
a	01907711	0.5	0.5	puhas;saastamata;saastumata	
a	01089136	0.125	0	täistöökoormusega;põhikohaga;täiskoormusega	
a	01751080	0	0.375	perfektne;veatu;täiuslik;ideaalne;täielik;laitmatu	
a	00630802	0	0.5	mittevaraline;mittemateriaalne	
a	00035368	0	0.625	pensionil olev;erusolev	
a	00477284	0.125	0	õdus;komfortne;mõnus;hubane;kodune;mugav	
a	00119006	0.375	0.25	eluvõimeline;vitaalne;elujõuline	Elujõulised pisikud. Elujõulised järglased. Maha pannakse ainult elujõulised ja terved kartulimugulad. 
a	02132080	0.625	0	armu-;armuihaline;armuelamuslik;erootiline	
