#Sõnad, kus sentiwordnet ja eki emotsioonidetektor lähevad vastuollu.
#wordnetis positiivsed, aga ekis neutraalsed.
a	560900	0.75	0	dom neutr	seltskondlik;sotsiaalne	nii iseloomustatakse inimest, kellele meeldib (mittetuttavate) inimestega suhelda
n	5757234	0.75	0	dom neutr	mõistmine;oskamine;valdamine;valdus	
n	5955323	0.75	0	dom neutr	põhimõte;printsiip	kedagi mingis tegevuses, toimimises juhtiv, suunav mõte, juhtmõte
n	10676018	0.75	0	dom neutr	ülemus;ülem;šeff	kõrgema positsiooniga töötaja
a	2100566	0.625	0	dom neutr	ülem	ameti- v. teenistusastmelt, sotsiaalselt positsioonilt vm. suhtes kõrgemal seisev
r	64691	0.625	0	dom neutr	täpselt;minutipealt;õigeaegselt;punktipealt;parasjagu;punkt;punktipealselt	(AEG) täpsel ajal; nii õigel ajal, kui võimalik
n	7480068	0.625	0	dom neutr	emotsioon;tundmus;tundeelamus;tunne	(lühiajaline) tugev tunne
n	5154517	0.625	0	dom neutr	aktiva;vara	ettevõttele v. isikule kuuluv vara (hooned, kaubad, materjalid jne.)
n	14546432	0.625	0	dom neutr	vorm	treenitusest, tervisest jm. tingitud üldine seis(und), (sportlase) jõudlusvõime teat. hetkel; hea kehaline v. vaimne seis(und) (EKSS)
v	839834	0.625	0	dom neutr	liialdama;üle pakkuma;paisutama;suurendama	midagi ülepakutult, paisutatult esitama v. kujutlema
a	2385102	0.5	0	dom neutr	pikk;pikakasvuline	kasvult kõrge
a	2119971	0.5	0	dom neutr	mõtlik	nii iseloomustatakse inimest, kes on tõsise meelelaadiga, mõttesse vajunud
a	2421158	0.5	0	dom neutr	kokkuhoidlik;säästlik;hoidlik;ökonoomne;majanduslik	nii iseloomustatakse inimest, kes oskab majandusasjades olla tagasihoidlik, säästev
a	1673946	0.5	0	dom neutr	banaalne;omapäratu;trafaretne;triviaalne;labane;üldtuntud;šabloonne;standardne;odav;äraleierdatud;kulunud;maotu;tavaline;harilik	
a	1933731	0.5	0	dom neutr	reaalne;tegelik;tõeline;tõsieluline;praktiline;esemeline;materiaalne;aineline	
a	1618053	0.5	0	dom neutr	ilmne;selge;ilmselge;silmnähtav;endastmõistetav	
a	2858816	0.5	0	dom neutr	isiklik	teat. isikule omane
n	5564590	0.5	0	dom neutr	käsi;labakäsi;käelaba	inimese v. ahvi ülajäse randmest sõrmeotsteni
n	5749619	0.5	0	dom neutr	maitse	esteetiliste väärtushinnangute kogum, sellel rajanevad arusaamad ilust jms
n	7486229	0.5	0	dom neutr	soov	millegi puuduolemisest tulenev tunne
n	14049711	0.5	0	dom neutr	tervis;tervislik seisund	organismi (füsioloogiline) seisund
n	7903841	0.5	0	dom neutr	konjak	viinamarjamahla kääritamisel ning destilleerimisel saadav kange alkohoolne jook
n	10444194	0.5	0	dom neutr	luuletaja;poeet;salmija;luular	luuletusi loov kirjanik
n	15269513	0.5	0	dom neutr	intervall;vahemik;ajavahemik	ajaperiood, mis on märgitud kahe momendiga
n	6519846	0.5	0	dom neutr	bussipilet	pilet, mille alusel võib bussis sõita
n	13931765	0.5	0	dom neutr	seksuaalvahekord;vahekord;suguline vahekord;kepp	
n	3574816	0.5	0	dom neutr	kutsikas;koer;kuersi;libinits	puust, sarve(tüki)st või kautšukist võrgukudumisvahend
n	3574816	0.5	0	dom neutr	liiv;liim	(endisaegne) prismataoliselt puuraamile tõmmatud võrkpüünis kalapüügiks madalas vees
a	489491	0.375	0	dom neutr	harjumuslik;harjumuspärane;tavakohane;tavapärane;harjunud;konventsionaalne;rutiinne;sissejuurdunud	
n	4723816	0.375	0	dom neutr	põhijoon;tunnus;tunnusjoon;joon	millelegi v. kellelegi olemuslikult v. tüüpiliselt kuuluv omadus
n	39297	0.375	0	dom neutr	kontakt;kokkupuude	kellegagi lähedases kokkupuutes olemine või tegutsemine
n	9787534	0.375	0	dom neutr	saadik	riigi diplomaatiline esindaja teises riigis
n	4669247	0.375	0	dom neutr	vastutus;vastutavus	oskus v. vajadus oma tegusid seletada v. olla oma tegude eest vastutav
