a	00005205	23907-a
a	00005599	53151-a
a	00005718	53161-a
a	00006032	23683-a
a	00009046	24017-a
a	00009978	23067-a
a	00011757	45808-a
a	00012689	23129-a
a	00012932	23426-a
a	00013442	53296-a
a	00013887	24130-a
a	00014490	24159-a
a	00017782	45810-a
a	00019874	23374-a
a	00020103	23014-a
a	00021766	23970-a
a	00025728	23371-a
a	00026168	24146-a
a	00029343	22601-a
a	00030798	23705-a
a	00031138	22602-a
a	00031974	22647-a
a	00033206	22843-a
a	00034322	23392-a
a	00034710	48227-a
a	00035368	59889-a
a	00035465	11003-a
a	00036163	58032-a
a	00036254	24099-a
a	00037457	24065-a
a	00037757	23151-a
a	00038462	23369-a
a	00039592	22734-a
a	00041051	50820-a
a	00044353	50812-a
a	00044760	48225-a
a	00045123	48294-a
a	00045356	58087-a
a	00045561	22944-a
a	00045888	48354-a
a	00047029	23796-a
a	00047406	23796-a
a	00048460	23302-a
a	00049266	58088-a
a	00049879	59980-a
a	00051373	48316-a
a	00051696	23462-a
a	00052012	23649-a
a	00053691	11128-a
a	00062626	50859-a
a	00064479	24279-a
a	00064787	10913-a
a	00066703	23939-a
a	00070939	24063-a
a	00071992	24062-a
a	00072281	58033-a
a	00073048	23856-a
a	00073465	23305-a
a	00074346	22722-a
a	00075515	23532-a
a	00075737	23532-a
a	00077645	48230-a
a	00078576	23003-a
a	00079069	60015-a
a	00082241	22652-a
a	00085630	22711-a
a	00092848	49364-a
a	00095280	48251-a
a	00096239	23201-a
a	00096815	48305-a
a	00097147	23548-a
a	00099290	22646-a
a	00099874	48350-a
a	00100881	23902-a
a	00101609	22588-a
a	00101800	22611-a
a	00103447	23623-a
a	00103953	24231-a
a	00104318	23589-a
a	00104825	23161-a
a	00105023	22628-a
a	00106821	22963-a
a	00111129	23810-a
a	00112231	22854-a
a	00112628	23810-a
a	00113818	22644-a
a	00115193	22801-a
a	00115494	48274-a
a	00116245	57932-a
a	00116940	48353-a
a	00117654	22678-a
a	00118567	24008-a
a	00119006	23030-a
a	00120574	48238-a
a	00120784	48239-a
a	00121865	10934-a
a	00122626	10933-a
a	00122844	22931-a
a	00124353	23450-a
a	00127137	10935-a
a	00127948	10932-a
a	00133669	59987-a
a	00134251	22639-a
a	00134701	22914-a
a	00136185	24199-a
a	00138314	50854-a
a	00138912	23367-a
a	00142407	23686-a
a	00142825	23794-a
a	00142917	23687-a
a	00148642	48343-a
a	00149461	22730-a
a	00150505	23352-a
a	00153898	48248-a
a	00154163	48249-a
a	00154965	23118-a
a	00156101	48252-a
a	00162863	23117-a
a	00162990	23052-a
a	00163592	22614-a
a	00165766	23937-a
a	00166146	22921-a
a	00166753	23530-a
a	00167077	23375-a
a	00170847	22921-a
a	00173220	23675-a
a	00173391	23867-a
a	00173764	24126-a
a	00174379	23314-a
a	00176150	24155-a
a	00176676	23403-a
a	00177547	50787-a
a	00178126	23072-a
a	00179925	23650-a
a	00181373	23092-a
a	00181476	23569-a
a	00182843	23334-a
a	00183053	48256-a
a	00183832	24138-a
a	00184363	23343-a
a	00185921	23344-a
a	00186616	24292-a
a	00187736	24293-a
a	00189017	23940-a
a	00190653	59916-a
a	00191603	23957-a
a	00193480	60013-a
a	00197576	23819-a
a	00198147	22970-a
a	00202508	23681-a
a	00205295	23179-a
a	00209620	23694-a
a	00209781	23694-a
a	00210446	23215-a
a	00210848	23245-a
a	00211564	24089-a
a	00212173	23214-a
a	00217728	23141-a
a	00219705	24058-a
a	00219809	23404-a
a	00219924	23142-a
a	00220956	24056-a
a	00221627	23896-a
a	00224731	22655-a
a	00225099	48353-a
a	00227507	24004-a
a	00228645	23557-a
a	00229371	24004-a
a	00229630	24005-a
a	00236989	24189-a
a	00237788	23624-a
a	00240417	52591-a
a	00241952	60037-a
a	00243180	60036-a
a	00243606	48280-a
a	00244054	23201-a
a	00245112	48281-a
a	00246727	24242-a
a	00247439	48282-a
a	00249433	23987-a
a	00249576	23478-a
a	00249721	22833-a
a	00250483	23111-a
a	00251134	23207-a
a	00254746	24255-a
a	00254880	23795-a
a	00258411	23733-a
a	00260430	53236-a
a	00262792	22615-a
a	00264776	22616-a
a	00266985	22691-a
a	00269989	53194-a
a	00272950	60038-a
a	00273082	23998-a
a	00276862	22908-a
a	00278551	23088-a
a	00279092	23301-a
a	00279332	23089-a
a	00280463	23801-a
a	00281657	23423-a
a	00282675	23740-a
a	00283703	24030-a
a	00286578	53191-a
a	00287640	22744-a
a	00288070	49242-a
a	00288498	58039-a
a	00289082	23220-a
a	00291181	23413-a
a	00292937	48286-a
a	00297755	48318-a
a	00298041	59937-a
a	00298767	24164-a
a	00300738	24165-a
a	00301777	24067-a
a	00302658	23152-a
a	00302761	48270-a
a	00302951	23745-a
a	00303579	23892-a
a	00303727	24283-a
a	00304144	23878-a
a	00304949	11002-a
a	00305225	24282-a
a	00306034	22992-a
a	00306314	22956-a
a	00307474	22957-a
a	00308015	48289-a
a	00308188	53155-a
a	00313387	24262-a
a	00314639	23826-a
a	00323199	23653-a
a	00326608	23235-a
a	00327690	23340-a
a	00329396	23943-a
a	00329831	10976-a
a	00331030	24245-a
a	00331889	23733-a
a	00336831	10821-a
a	00338817	10821-a
a	00339742	22625-a
a	00343015	22972-a
a	00343360	22972-a
a	00344125	57974-a
a	00347707	50844-a
a	00348018	23769-a
a	00349894	10814-a
a	00356926	48292-a
a	00357556	23934-a
a	00358534	53275-a
a	00358678	53276-a
a	00359459	23070-a
a	00360650	22951-a
a	00361125	23815-a
a	00361837	22813-a
a	00362467	48293-a
a	00363938	23659-a
a	00364881	48347-a
a	00365261	48348-a
a	00369504	48234-a
a	00369941	74875-a
a	00370869	42499-a
a	00372111	23644-a
a	00375969	11043-a
a	00377890	23384-a
a	00378892	23558-a
a	00379595	23698-a
a	00380312	23383-a
a	00385756	11044-a
a	00386392	11041-a
a	00388849	23822-a
a	00390539	11005-a
a	00391897	23571-a
a	00392093	11006-a
a	00393105	11004-a
a	00393683	11000-a
a	00394562	24152-a
a	00398816	24101-a
a	00402855	11045-a
a	00403982	24163-a
a	00404202	11041-a
a	00405879	23183-a
a	00406867	48308-a
a	00407654	53171-a
a	00408284	53279-a
a	00408660	53192-a
a	00409440	53193-a
a	00412788	23178-a
a	00414354	53250-a
a	00414518	58067-a
a	00415696	23713-a
a	00417413	24143-a
a	00418364	48262-a
a	00419289	24142-a
a	00420650	24142-a
a	00422620	23629-a
a	00424370	50760-a
a	00429016	50762-a
a	00430191	24193-a
a	00433115	23421-a
a	00438166	53239-a
a	00438332	24166-a
a	00438567	23878-a
a	00438909	22851-a
a	00439252	22656-a
a	00443618	22920-a
a	00445937	48357-a
a	00448314	22909-a
a	00451510	24011-a
a	00452605	23945-a
a	00453053	23056-a
a	00453726	24214-a
a	00455824	22995-a
a	00457998	24213-a
a	00460735	48302-a
a	00461311	23614-a
a	00461971	23660-a
a	00464513	23396-a
a	00464962	23836-a
a	00465943	23483-a
a	00466229	56124-a
a	00466725	23745-a
a	00467240	23440-a
a	00467913	23781-a
a	00473243	23886-a
a	00474043	23471-a
a	00474311	23887-a
a	00475308	24162-a
a	00477284	23485-a
a	00478015	24186-a
a	00479330	23950-a
a	00482227	11046-a
a	00482673	58090-a
a	00483048	11047-a
a	00483146	23225-a
a	00483650	50896-a
a	00484070	59990-a
a	00485711	22860-a
a	00486290	22860-a
a	00486990	50838-a
a	00487525	23526-a
a	00488187	23044-a
a	00488857	50811-a
a	00489108	23844-a
a	00489491	23083-a
a	00489768	23567-a
a	00489863	59873-a
a	00490035	23845-a
a	00490413	10945-a
a	00490845	53301-a
a	00492677	48313-a
a	00493012	23276-a
a	00493297	24182-a
a	00493460	23153-a
a	00496422	22783-a
a	00501313	24055-a
a	00502180	24015-a
a	00502487	23272-a
a	00503982	24061-a
a	00504592	24060-a
a	00505853	23955-a
a	00506299	22622-a
a	00506852	22849-a
a	00508036	23015-a
a	00508750	22918-a
a	00509039	48315-a
a	00510050	22827-a
a	00510348	22680-a
a	00510644	48253-a
a	00511526	22828-a
a	00512487	48317-a
a	00514884	60039-a
a	00516539	23437-a
a	00517314	23219-a
a	00519211	60010-a
a	00520214	23908-a
a	00521584	23131-a
a	00522885	23908-a
a	00523786	10937-a
a	00525105	22945-a
a	00525453	48322-a
a	00526062	23264-a
a	00529657	22595-a
a	00530047	48271-a
a	00533452	23428-a
a	00533851	23429-a
a	00534524	48349-a
a	00535293	23420-a
a	00535452	24091-a
a	00536792	23228-a
a	00537339	24092-a
a	00538565	23237-a
a	00539009	59996-a
a	00539793	23069-a
a	00541614	24001-a
a	00542359	24029-a
a	00544231	48231-a
a	00545015	23105-a
a	00546646	24108-a
a	00547317	23273-a
a	00548029	23029-a
a	00548316	24290-a
a	00548781	24002-a
a	00549236	23576-a
a	00550574	48355-a
a	00553732	23760-a
a	00556709	23566-a
a	00560900	22663-a
a	00562308	48242-a
a	00562469	53156-a
a	00566099	26744-a
a	00566342	23610-a
a	00570225	23020-a
a	00570590	23846-a
a	00574422	22724-a
a	00575230	53189-a
a	00575685	53190-a
a	00576189	22725-a
a	00576680	48324-a
a	00579084	23747-a
a	00579881	48283-a
a	00583239	48327-a
a	00583581	48326-a
a	00584820	23284-a
a	00585202	24110-a
a	00586183	23123-a
a	00587890	53273-a
a	00588535	24034-a
a	00588797	22717-a
a	00589344	59907-a
a	00589624	22718-a
a	00590271	59887-a
a	00592539	60063-a
a	00592880	23290-a
a	00593374	23906-a
a	00593664	23107-a
a	00594413	23413-a
a	00596511	59968-a
a	00601783	48330-a
